scale,HEX
0,#2c0000
0.010101010101010102,#2e0208
0.020202020202020204,#30030f
0.030303030303030304,#320414
0.04040404040404041,#350519
0.050505050505050504,#38061d
0.06060606060606061,#3b0622
0.0707070707070707,#3d0626
0.08080808080808081,#40072b
0.09090909090909091,#430830
0.10101010101010101,#450a35
0.1111111111111111,#470b3b
0.12121212121212122,#490d40
0.13131313131313133,#4a1046
0.1414141414141414,#4b134b
0.15151515151515152,#4c1651
0.16161616161616163,#4c1957
0.1717171717171717,#4d1c5c
0.18181818181818182,#4d1f61
0.1919191919191919,#4d2267
0.20202020202020202,#4d256c
0.21212121212121213,#4c2871
0.2222222222222222,#4c2b75
0.23232323232323232,#4b2e79
0.24242424242424243,#4a327e
0.25252525252525254,#483582
0.26262626262626265,#473886
0.2727272727272727,#463b89
0.2828282828282828,#453e8d
0.29292929292929293,#434290
0.30303030303030304,#414593
0.31313131313131315,#3f4896
0.32323232323232326,#3d4b99
0.3333333333333333,#3b4e9d
0.3434343434343434,#39519f
0.35353535353535354,#3754a1
0.36363636363636365,#3558a3
0.37373737373737376,#335ba5
0.3838383838383838,#315ea7
0.3939393939393939,#2e61a9
0.40404040404040403,#2b64aa
0.41414141414141414,#2867ac
0.42424242424242425,#256aad
0.43434343434343436,#236dae
0.4444444444444444,#2070af
0.45454545454545453,#1c73af
0.46464646464646464,#1b76b0
0.47474747474747475,#1c79b0
0.48484848484848486,#1c7cb0
0.494949494949495,#1d7fb0
0.5050505050505051,#1e82b0
0.5151515151515151,#2084af
0.5252525252525253,#2187af
0.5353535353535354,#238aaf
0.5454545454545454,#258dae
0.5555555555555556,#2a90ad
0.5656565656565656,#2e92ac
0.5757575757575758,#3195ab
0.5858585858585859,#3498ab
0.5959595959595959,#369baa
0.6060606060606061,#389daa
0.6161616161616161,#3aa0aa
0.6262626262626263,#3ca3aa
0.6363636363636364,#40a6a9
0.6464646464646465,#45a8a8
0.6565656565656566,#49aba7
0.6666666666666666,#4cada6
0.6767676767676768,#50b0a5
0.6868686868686869,#53b3a5
0.696969696969697,#57b5a4
0.7070707070707071,#5ab8a3
0.7171717171717171,#5ebba2
0.7272727272727273,#62bda1
0.7373737373737373,#66c0a0
0.7474747474747475,#6ac29f
0.7575757575757576,#6fc59d
0.7676767676767676,#73c79b
0.7777777777777778,#78ca99
0.7878787878787878,#7ccc97
0.797979797979798,#80cf95
0.8080808080808081,#85d193
0.8181818181818182,#8ad390
0.8282828282828283,#8fd68e
0.8383838383838383,#94d88b
0.8484848484848485,#99db87
0.8585858585858586,#9edd84
0.8686868686868687,#a2df80
0.8787878787878788,#a7e27c
0.8888888888888888,#ade478
0.898989898989899,#b2e674
0.9090909090909091,#b8e86f
0.9191919191919192,#bdeb6b
0.9292929292929293,#c3ed66
0.9393939393939394,#c8ef60
0.9494949494949495,#cef15a
0.9595959595959596,#d3f354
0.9696969696969697,#d9f54c
0.9797979797979798,#dff744
0.98989898989899,#e5f93a
1,#eafb2e
