scale,HEX
0,#0b167e
0.010101010101010102,#111a7c
0.020202020202020204,#151d7a
0.030303030303030304,#182078
0.04040404040404041,#1b2476
0.050505050505050504,#1d2774
0.06060606060606061,#202972
0.0707070707070707,#222c71
0.08080808080808081,#242f6f
0.09090909090909091,#27316d
0.10101010101010101,#2a336b
0.1111111111111111,#2d3669
0.12121212121212122,#2f3867
0.13131313131313133,#323a66
0.1414141414141414,#353c64
0.15151515151515152,#373f63
0.16161616161616163,#3a4161
0.1717171717171717,#3c4360
0.18181818181818182,#3f455f
0.1919191919191919,#42475e
0.20202020202020202,#45495d
0.21212121212121213,#484b5d
0.2222222222222222,#4b4c5e
0.23232323232323232,#4f4e5f
0.24242424242424243,#524f5f
0.25252525252525254,#565160
0.26262626262626265,#595261
0.2727272727272727,#5d5362
0.2828282828282828,#615563
0.29292929292929293,#655664
0.30303030303030304,#695765
0.31313131313131315,#6d5965
0.32323232323232326,#715a66
0.3333333333333333,#755b67
0.3434343434343434,#795c68
0.35353535353535354,#7e5d69
0.36363636363636365,#825e6a
0.37373737373737376,#875f6b
0.3838383838383838,#8c606c
0.3939393939393939,#91616c
0.40404040404040403,#95616d
0.41414141414141414,#9a626e
0.42424242424242425,#a0626e
0.43434343434343436,#a6626f
0.4444444444444444,#ab626f
0.45454545454545453,#b16270
0.46464646464646464,#b76270
0.47474747474747475,#bd6270
0.48484848484848486,#c3616f
0.494949494949495,#c9616f
0.5050505050505051,#cf616e
0.5151515151515151,#d4616c
0.5252525252525253,#d9616b
0.5353535353535354,#de6169
0.5454545454545454,#e36267
0.5555555555555556,#e76365
0.5656565656565656,#eb6463
0.5757575757575758,#ef6661
0.5858585858585859,#f2675f
0.5959595959595959,#f56a5d
0.6060606060606061,#f76c5c
0.6161616161616161,#f96f5a
0.6262626262626263,#fc7258
0.6363636363636364,#fc7657
0.6464646464646465,#fd7956
0.6565656565656566,#fe7d56
0.6666666666666666,#ff8155
0.6767676767676768,#ff8555
0.6868686868686869,#ff8955
0.696969696969697,#ff8d56
0.7070707070707071,#ff9056
0.7171717171717171,#ff9457
0.7272727272727273,#ff9859
0.7373737373737373,#fe9c5b
0.7474747474747475,#fea05c
0.7575757575757576,#fda45f
0.7676767676767676,#fca862
0.7777777777777778,#fbac65
0.7878787878787878,#fab068
0.797979797979798,#f9b46d
0.8080808080808081,#f7b872
0.8181818181818182,#f6bc78
0.8282828282828283,#f5bf7d
0.8383838383838383,#f3c383
0.8484848484848485,#f2c688
0.8585858585858586,#f1ca8e
0.8686868686868687,#f0cd93
0.8787878787878788,#efd099
0.8888888888888888,#efd39f
0.898989898989899,#efd6a5
0.9090909090909091,#eed9ab
0.9191919191919192,#eedcb1
0.9292929292929293,#eedfb6
0.9393939393939394,#eee2bc
0.9494949494949495,#eee5c1
0.9595959595959596,#eee8c6
0.9696969696969697,#eeebcb
0.9797979797979798,#eeedd0
0.98989898989899,#eef0d4
1,#eff3d9
