scale,HEX
0,#2a0107
0.010101010101010102,#2b040d
0.020202020202020204,#2b0812
0.030303030303030304,#2c0b16
0.04040404040404041,#2d0e1a
0.050505050505050504,#2e111d
0.06060606060606061,#2e1420
0.0707070707070707,#2f1623
0.08080808080808081,#2f1926
0.09090909090909091,#2f1c29
0.10101010101010101,#301e2c
0.1111111111111111,#30212f
0.12121212121212122,#302331
0.13131313131313133,#312634
0.1414141414141414,#322837
0.15151515151515152,#322a3a
0.16161616161616163,#332d3c
0.1717171717171717,#332f3f
0.18181818181818182,#343142
0.1919191919191919,#353445
0.20202020202020202,#363648
0.21212121212121213,#36384b
0.2222222222222222,#363b4e
0.23232323232323232,#373d51
0.24242424242424243,#374053
0.25252525252525254,#374256
0.26262626262626265,#384559
0.2727272727272727,#38475b
0.2828282828282828,#384a5e
0.29292929292929293,#384c60
0.30303030303030304,#384f62
0.31313131313131315,#395164
0.32323232323232326,#395466
0.3333333333333333,#395668
0.3434343434343434,#3a596a
0.35353535353535354,#3a5c6b
0.36363636363636365,#3a5e6d
0.37373737373737376,#3b616f
0.3838383838383838,#3b6370
0.3939393939393939,#3b6672
0.40404040404040403,#3c6973
0.41414141414141414,#3c6b74
0.42424242424242425,#3e6e75
0.43434343434343436,#407075
0.4444444444444444,#427376
0.45454545454545453,#437577
0.46464646464646464,#457877
0.47474747474747475,#477a78
0.48484848484848486,#497d79
0.494949494949495,#4b7f79
0.5050505050505051,#4c827a
0.5151515151515151,#4e857b
0.5252525252525253,#4f877b
0.5353535353535354,#508a7c
0.5454545454545454,#528d7c
0.5555555555555556,#538f7c
0.5656565656565656,#55927c
0.5757575757575758,#57957c
0.5858585858585859,#58977c
0.5959595959595959,#599a7c
0.6060606060606061,#5a9d7c
0.6161616161616161,#5ba07c
0.6262626262626263,#5ca27b
0.6363636363636364,#5da57a
0.6464646464646465,#5da879
0.6565656565656566,#5dab78
0.6666666666666666,#5eae77
0.6767676767676768,#60b175
0.6868686868686869,#62b473
0.696969696969697,#63b771
0.7070707070707071,#65b96f
0.7171717171717171,#69bc6d
0.7272727272727273,#6cbf6b
0.7373737373737373,#70c168
0.7474747474747475,#73c466
0.7575757575757576,#77c663
0.7676767676767676,#7bc960
0.7777777777777778,#7ecb5c
0.7878787878787878,#82ce59
0.797979797979798,#87d056
0.8080808080808081,#8cd253
0.8181818181818182,#91d550
0.8282828282828283,#95d74c
0.8383838383838383,#9bd949
0.8484848484848485,#a1db46
0.8585858585858586,#a7dd42
0.8686868686868687,#addf3e
0.8787878787878788,#b2e13b
0.8888888888888888,#b9e338
0.898989898989899,#bfe534
0.9090909090909091,#c5e731
0.9191919191919192,#cbe82d
0.9292929292929293,#d1ea2b
0.9393939393939394,#d8ec29
0.9494949494949495,#deed26
0.9595959595959596,#e4ef23
0.9696969696969697,#eaf11e
0.9797979797979798,#f0f219
0.98989898989899,#f6f412
1,#fcf609
