scale,HEX
0,#001414
0.010101010101010102,#041618
0.020202020202020204,#07171c
0.030303030303030304,#0a1921
0.04040404040404041,#0c1b25
0.050505050505050504,#0d1c2a
0.06060606060606061,#0d1e2f
0.0707070707070707,#0d1f35
0.08080808080808081,#0d213a
0.09090909090909091,#0f2340
0.10101010101010101,#112445
0.1111111111111111,#14254a
0.12121212121212122,#162650
0.13131313131313133,#1b2754
0.1414141414141414,#212858
0.15151515151515152,#27295c
0.16161616161616163,#2c2960
0.1717171717171717,#322a63
0.18181818181818182,#382a66
0.1919191919191919,#3f2a69
0.20202020202020202,#45296c
0.21212121212121213,#4b296e
0.2222222222222222,#52296f
0.23232323232323232,#59286f
0.24242424242424243,#5f286f
0.25252525252525254,#66276f
0.26262626262626265,#6c266e
0.2727272727272727,#73256d
0.2828282828282828,#7a236b
0.29292929292929293,#80226a
0.30303030303030304,#862167
0.31313131313131315,#8c2064
0.32323232323232326,#921f61
0.3333333333333333,#971d5f
0.3434343434343434,#9c1e5b
0.35353535353535354,#a01f58
0.36363636363636365,#a52054
0.37373737373737376,#a92151
0.3838383838383838,#ac254e
0.3939393939393939,#af284b
0.40404040404040403,#b22c48
0.41414141414141414,#b52f45
0.42424242424242425,#b73342
0.43434343434343436,#b93740
0.4444444444444444,#bc3b3d
0.45454545454545453,#be3e3a
0.46464646464646464,#c04337
0.47474747474747475,#c14735
0.48484848484848486,#c24b32
0.494949494949495,#c44f2f
0.5050505050505051,#c4542d
0.5151515151515151,#c5582b
0.5252525252525253,#c65c28
0.5353535353535354,#c66126
0.5454545454545454,#c76523
0.5555555555555556,#c66921
0.5656565656565656,#c66e1f
0.5757575757575758,#c6721d
0.5858585858585859,#c5771b
0.5959595959595959,#c57b1a
0.6060606060606061,#c47f1a
0.6161616161616161,#c3831a
0.6262626262626263,#c2881a
0.6363636363636364,#c18c1d
0.6464646464646465,#c0901f
0.6565656565656566,#bf9422
0.6666666666666666,#be9824
0.6767676767676768,#bc9c2a
0.6868686868686869,#baa030
0.696969696969697,#b9a435
0.7070707070707071,#b7a83a
0.7171717171717171,#b5ac41
0.7272727272727273,#b3af49
0.7373737373737373,#b2b350
0.7474747474747475,#afb757
0.7575757575757576,#aeba5e
0.7676767676767676,#adbe66
0.7777777777777778,#abc16e
0.7878787878787878,#a9c475
0.797979797979798,#a9c77e
0.8080808080808081,#a9ca87
0.8181818181818182,#a9cd90
0.8282828282828283,#a9d099
0.8383838383838383,#aad2a2
0.8484848484848485,#acd5aa
0.8585858585858586,#aed7b2
0.8686868686868687,#b0d9bb
0.8787878787878788,#b3dbc2
0.8888888888888888,#b9ddc7
0.898989898989899,#bfdecd
0.9090909090909091,#c4e0d2
0.9191919191919192,#cae2d8
0.9292929292929293,#cee3dd
0.9393939393939394,#d2e5e2
0.9494949494949495,#d6e7e7
0.9595959595959596,#dae9ec
0.9696969696969697,#dfebf1
0.9797979797979798,#e3edf5
0.98989898989899,#e7effa
1,#ecf1ff
