scale,HEX
0,#0c1302
0.010101010101010102,#111503
0.020202020202020204,#161604
0.030303030303030304,#191705
0.04040404040404041,#1d1905
0.050505050505050504,#201a08
0.06060606060606061,#231b0b
0.0707070707070707,#271c0d
0.08080808080808081,#2a1d0f
0.09090909090909091,#2e1e11
0.10101010101010101,#321f14
0.1111111111111111,#352016
0.12121212121212122,#392118
0.13131313131313133,#3e221a
0.1414141414141414,#42221c
0.15151515151515152,#47231e
0.16161616161616163,#4b2320
0.1717171717171717,#502322
0.18181818181818182,#562225
0.1919191919191919,#5c2127
0.20202020202020202,#61202a
0.21212121212121213,#671f2e
0.2222222222222222,#6c1d32
0.23232323232323232,#701c37
0.24242424242424243,#751a3c
0.25252525252525254,#7a1841
0.26262626262626265,#7d1948
0.2727272727272727,#81194f
0.2828282828282828,#841955
0.29292929292929293,#871a5c
0.30303030303030304,#8a1c64
0.31313131313131315,#8c1d6c
0.32323232323232326,#8e1f74
0.3333333333333333,#90217c
0.3434343434343434,#902684
0.35353535353535354,#902a8c
0.36363636363636365,#902e94
0.37373737373737376,#8f329c
0.3838383838383838,#8e38a2
0.3939393939393939,#8c3da8
0.40404040404040403,#8a41ae
0.41414141414141414,#8846b5
0.42424242424242425,#864bba
0.43434343434343436,#844fbe
0.4444444444444444,#8253c3
0.45454545454545453,#8058c8
0.46464646464646464,#7d5ccc
0.47474747474747475,#7b60d0
0.48484848484848486,#7964d3
0.494949494949495,#7768d7
0.5050505050505051,#746bdb
0.5151515151515151,#716fde
0.5252525252525253,#6f73e1
0.5353535353535354,#6b77e4
0.5454545454545454,#687be7
0.5555555555555556,#667ee9
0.5656565656565656,#6382ea
0.5757575757575758,#6086ec
0.5858585858585859,#5d89ee
0.5959595959595959,#5a8def
0.6060606060606061,#5791f0
0.6161616161616161,#5494f1
0.6262626262626263,#5098f2
0.6363636363636364,#4e9cf2
0.6464646464646465,#4b9ff1
0.6565656565656566,#48a3f1
0.6666666666666666,#44a6f0
0.6767676767676768,#42aaef
0.6868686868686869,#40aded
0.696969696969697,#3db1ec
0.7070707070707071,#3ab4eb
0.7171717171717171,#3bb8e9
0.7272727272727273,#3dbbe6
0.7373737373737373,#3fbee4
0.7474747474747475,#41c1e2
0.7575757575757576,#45c4df
0.7676767676767676,#4ac7dd
0.7777777777777778,#4ecadb
0.7878787878787878,#52cdd8
0.797979797979798,#58d0d6
0.8080808080808081,#5ed2d4
0.8181818181818182,#64d5d2
0.8282828282828283,#6ad8d0
0.8383838383838383,#70dace
0.8484848484848485,#75ddcb
0.8585858585858586,#7bdfc9
0.8686868686868687,#80e2c7
0.8787878787878788,#85e4c4
0.8888888888888888,#8be6c2
0.898989898989899,#91e9bf
0.9090909090909091,#97ebbc
0.9191919191919192,#9deeb9
0.9292929292929293,#a4f0b6
0.9393939393939394,#aaf2b2
0.9494949494949495,#b1f4ae
0.9595959595959596,#b7f6aa
0.9696969696969697,#bdf9a5
0.9797979797979798,#c3fba0
0.98989898989899,#c9fd9b
1,#ceff95
